taxa	organ	pond	sample	value
Proteobacteria	Gut	Pond 3 (G2)	IA3	0.908443914
Synergistetes	Gut	Pond 3 (G2)	IA3	0
Tenericutes	Gut	Pond 3 (G2)	IA3	0.000308136
Verrucomicrobia	Gut	Pond 3 (G2)	IA3	0.000268376
Actinobacteria	Gut	Pond 3 (G2)	IA4	0.013007674
Bacteroidetes	Gut	Pond 3 (G2)	IA4	0.001871608
Chloroflexi	Gut	Pond 3 (G2)	IA4	0.001403706
Cyanobacteria	Gut	Pond 3 (G2)	IA4	0.794591054
Firmicutes	Gut	Pond 3 (G2)	IA4	0.001122965
Fusobacteria	Gut	Pond 3 (G2)	IA4	0.001965188
Gemmatimonadetes	Gut	Pond 3 (G2)	IA4	0
OP8	Gut	Pond 3 (G2)	IA4	0.000467902
Planctomycetes	Gut	Pond 3 (G2)	IA4	0.000935804
Proteobacteria	Gut	Pond 3 (G2)	IA4	0.183417556
Synergistetes	Gut	Pond 3 (G2)	IA4	9.36E-05
Tenericutes	Gut	Pond 3 (G2)	IA4	0
Verrucomicrobia	Gut	Pond 3 (G2)	IA4	0.001122965
Actinobacteria	Gut	Pond 3 (G2)	IA5	0.004081514
Bacteroidetes	Gut	Pond 3 (G2)	IA5	0.000174922
Chloroflexi	Gut	Pond 3 (G2)	IA5	0.000145768
Cyanobacteria	Gut	Pond 3 (G2)	IA5	0.875732486
Firmicutes	Gut	Pond 3 (G2)	IA5	0.001064109
Fusobacteria	Gut	Pond 3 (G2)	IA5	0.001720066
Gemmatimonadetes	Gut	Pond 3 (G2)	IA5	5.83E-05
OP8	Gut	Pond 3 (G2)	IA5	0.000189499
Planctomycetes	Gut	Pond 3 (G2)	IA5	0.000189499
Proteobacteria	Gut	Pond 3 (G2)	IA5	0.115463106
Synergistetes	Gut	Pond 3 (G2)	IA5	0.000174922
Tenericutes	Gut	Pond 3 (G2)	IA5	0
Verrucomicrobia	Gut	Pond 3 (G2)	IA5	0.001005802
Actinobacteria	Gut	Pond 3 (G2)	IA7	0.004002756
Bacteroidetes	Gut	Pond 3 (G2)	IA7	0.00236692
Chloroflexi	Gut	Pond 3 (G2)	IA7	0.001406147
Cyanobacteria	Gut	Pond 3 (G2)	IA7	0.712168491
Firmicutes	Gut	Pond 3 (G2)	IA7	0.001243684
Fusobacteria	Gut	Pond 3 (G2)	IA7	0.109959552
Gemmatimonadetes	Gut	Pond 3 (G2)	IA7	0.000168065
OP8	Gut	Pond 3 (G2)	IA7	0.000159662
Planctomycetes	Gut	Pond 3 (G2)	IA7	0.001308109
Proteobacteria	Gut	Pond 3 (G2)	IA7	0.166084974
